rank,code,name,price,change_pct,source,collect_time
1,001309.SZ,德明利,482.89,-10.0,东方财富,2026-07-20 16:50:59
2,601991.SH,大唐发电,6.38,10.0,东方财富,2026-07-20 16:50:59
3,600584.SH,长电科技,76.99,-9.94,东方财富,2026-07-20 16:50:59
4,000938.SZ,紫光股份,37.69,7.29,东方财富,2026-07-20 16:50:59
5,600744.SH,华银电力,6.56,10.07,东方财富,2026-07-20 16:50:59
7,000725.SZ,京东方Ａ,5.79,-4.61,东方财富,2026-07-20 16:50:59
8,600519.SH,贵州茅台,1327.5,5.95,东方财富,2026-07-20 16:50:59
9,600396.SH,华电辽能,12.82,10.04,东方财富,2026-07-20 16:50:59
10,600664.SH,哈药股份,5.31,-0.38,东方财富,2026-07-20 16:50:59
11,603986.SH,兆易创新,432.3,-6.66,东方财富,2026-07-20 16:50:59
12,001258.SZ,立新能源,9.1,10.04,东方财富,2026-07-20 16:50:59
13,002384.SZ,东山精密,217.73,-10.0,东方财富,2026-07-20 16:50:59
14,002432.SZ,九安医疗,72.5,-8.46,东方财富,2026-07-20 16:50:59
15,002185.SZ,华天科技,16.85,-9.99,东方财富,2026-07-20 16:50:59
16,600938.SH,中国海油,31.87,10.01,东方财富,2026-07-20 16:50:59
17,600863.SH,华能蒙电,5.02,10.09,东方财富,2026-07-20 16:50:59
18,000815.SZ,美利云,13.33,9.98,东方财富,2026-07-20 16:50:59
21,600644.SH,乐山电力,9.91,9.99,东方财富,2026-07-20 16:50:59
22,000722.SZ,湖南发展,15.21,9.98,东方财富,2026-07-20 16:50:59
23,000977.SZ,浪潮信息,81.29,5.03,东方财富,2026-07-20 16:50:59
24,600821.SH,金开新能,6.24,10.05,东方财富,2026-07-20 16:50:59
25,000767.SZ,晋控电力,3.76,9.94,东方财富,2026-07-20 16:50:59
26,600722.SH,金牛化工,9.38,9.96,东方财富,2026-07-20 16:50:59
27,603823.SH,百合花,77.2,10.0,东方财富,2026-07-20 16:50:59
28,600126.SH,杭钢股份,6.23,10.07,东方财富,2026-07-20 16:50:59
29,600726.SH,华电能源,5.83,10.0,东方财富,2026-07-20 16:50:59
30,600578.SH,京能电力,5.72,10.0,东方财富,2026-07-20 16:50:59
31,000539.SZ,粤电力Ａ,5.84,9.98,东方财富,2026-07-20 16:50:59
32,600236.SH,桂冠电力,11.68,9.98,东方财富,2026-07-20 16:50:59
33,601600.SH,中国铝业,9.17,8.65,东方财富,2026-07-20 16:50:59
34,600188.SH,兖矿能源,20.79,10.0,东方财富,2026-07-20 16:50:59
35,000596.SZ,古井贡酒,93.83,10.0,东方财富,2026-07-20 16:50:59
36,000037.SZ,深南电A,10.12,10.0,东方财富,2026-07-20 16:50:59
37,600797.SH,浙大网新,6.85,9.95,东方财富,2026-07-20 16:50:59
38,600403.SH,大有能源,5.28,10.0,东方财富,2026-07-20 16:50:59
39,600267.SH,海正药业,12.45,9.98,东方财富,2026-07-20 16:50:59
40,600487.SH,亨通光电,56.56,-3.13,东方财富,2026-07-20 16:50:59
41,600032.SH,浙江新能,7.78,10.04,东方财富,2026-07-20 16:50:59
42,000600.SZ,建投能源,8.98,10.05,东方财富,2026-07-20 16:50:59
44,603118.SH,共进股份,13.57,-9.23,东方财富,2026-07-20 16:50:59
45,600756.SH,浪潮软件,14.05,10.02,东方财富,2026-07-20 16:50:59
47,601318.SH,中国平安,53.23,4.99,东方财富,2026-07-20 16:50:59
48,603629.SH,利通电子,97.8,7.72,东方财富,2026-07-20 16:50:59
49,600452.SH,涪陵电力,10.0,10.01,东方财富,2026-07-20 16:50:59
50,601869.SH,长飞光纤,382.0,5.65,东方财富,2026-07-20 16:50:59
51,600227.SH,赤天化,3.37,10.13,东方财富,2026-07-20 16:50:59
52,002156.SZ,通富微电,63.0,-7.84,东方财富,2026-07-20 16:50:59
53,601898.SH,中煤能源,13.79,9.97,东方财富,2026-07-20 16:50:59
54,002440.SZ,闰土股份,11.78,9.99,东方财富,2026-07-20 16:50:59
55,600121.SH,郑州煤电,3.76,9.94,东方财富,2026-07-20 16:50:59
56,600900.SH,长江电力,28.98,3.54,东方财富,2026-07-20 16:50:59
57,002490.SZ,山东墨龙,7.8,10.01,东方财富,2026-07-20 16:50:59
59,600021.SH,上海电力,16.35,9.66,东方财富,2026-07-20 16:50:59
60,002407.SZ,多氟多,28.12,-9.99,东方财富,2026-07-20 16:50:59
61,603533.SH,掌阅科技,19.69,10.0,东方财富,2026-07-20 16:50:59
63,000988.SZ,华工科技,105.86,-10.0,东方财富,2026-07-20 16:50:59
64,002050.SZ,三花智控,36.12,-9.13,东方财富,2026-07-20 16:50:59
65,000063.SZ,中兴通讯,33.73,-6.31,东方财富,2026-07-20 16:50:59
67,601857.SH,中国石油,11.01,7.0,东方财富,2026-07-20 16:50:59
68,000021.SZ,深科技,35.14,-9.92,东方财富,2026-07-20 16:50:59
69,600667.SH,太极实业,15.17,-10.02,东方财富,2026-07-20 16:50:59
70,000858.SZ,五 粮 液,76.24,4.78,东方财富,2026-07-20 16:50:59
71,600985.SH,淮北矿业,15.62,10.0,东方财富,2026-07-20 16:50:59
72,603779.SH,威龙股份,8.68,10.01,东方财富,2026-07-20 16:50:59
73,600522.SH,中天科技,32.22,-4.25,东方财富,2026-07-20 16:50:59
74,603619.SH,中曼石油,19.51,9.98,东方财富,2026-07-20 16:50:59
75,603259.SH,药明康德,124.22,5.37,东方财富,2026-07-20 16:50:59
